State,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020,2022
Alabma,Dem,Dem,Dem,Dem,Dem,Rep,Rep,Rep,Rep,Rep,Rep
Alaska,Rep,Rep,Rep,Split,Split,Split,Rep,Split,Split,Rep,Rep
Arizona,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Arkansas,Dem,Dem,Dem,Dem,Dem,Dem,Rep,Rep,Rep,Rep,Rep
California,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem
Colorado,Rep,Dem,Dem,Dem,Dem,Split,Dem,Split,Split,Dem,Dem
Connecticut,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Split,Dem,Dem
Delaware,Split,Split,Split,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem
Florida,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Georgia,Split,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Hawaii,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem
Idaho,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Illinois,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Split,Split,Dem,Dem
Indiana,Split,Rep,Split,Split,Split,Rep,Rep,Rep,Rep,Rep,REp
Iowa,Rep,Split,Dem,Dem,Dem,Split,Split,Split,Rep,Rep,Rep
Kansas,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Split,Split
Kentucky,Split,Split,Split,Split,Split,Split,Split,Split,Rep,Split,Split
Louisiana,Dem,Dem,Dem,Dem,Dem,Rep,Rep,Rep,Split,Split,Split
Maine,Dem,Dem,Dem,Dem,Dem,Rep,Dem,Split,Split,Dem,Dem
Maryland,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Split,Split,Split,Split 
Massachusetts,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Split,Split,Split,Split
Michigan,Rep,Rep,Split,Split,Split,Rep,Rep,Rep,Rep,Split ,Split
Minnesota,Split,Split,Dem,Dem,Dem,Rep,Dem,Split,Split,Split,Split
Mississippi,Dem,Dem,Dem,Dem,Dem,Rep,Rep,Rep,REp,Rep,Rep
Missouri,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Split,REp,REp,Rep
Montana,Rep,Split,Split,Split,Split,Split,Rep,Split,Split,Split,Rep
Nebraska,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nevada,Split,Split,Split,Dem,Dem,Dem,Dem,Rep,Split,Dem,Dem
New Hampshire ,Rep,Rep,Dem,Dem,Dem,Rep,Split,Split,Rep,Split,Rep
New Jersey ,Split,Dem,Dem,Dem,Dem,Dem,Dem,Split,Dem,Dem,Dem
New Mexico ,Dem,Dem,Dem,Dem,Dem,Dem,Dem,SPlit,Split,Dem,Dem
New York ,Split,Split,Split,Dem,Dem,Split,*Dem,Split,SPlit,Dem,Dem
North Carolina,Split,Dem,Dem,Dem,Dem,Rep,Rep,Rep,Split,Split,Split
North Dakota,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Ohio,Rep,Rep,Rep,Rep,Split,Rep,Rep,Rep,Rep,Rep,Rep
Oklahoma,Dem,Split,Split,Split,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Oregon,Split,Split,Dem,Dem,Dem,Split,Dem,Dem,Dem,Dem,Dem
Pennsylvania,Rep,Rep,Rep,Split,Split,Rep,Rep,Split,Split,Split,Split
Rhode Island,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem
South Carolina,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
South Dakota,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Tennessee ,Dem,Split,Split,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Texas,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Utah,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Vermont,Split,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Split,Split,Split
Virginia,Rep,Rep,Rep,Split,Split,Split,Split,Split,Split,Dem,Split
Washington,Split,Dem,Dem,Dem,Dem,Dem,*Dem,Split,Dem,Dem,Dem
West VIrginia,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Split,Rep,Rep,Rep
Wisconsin,Rep,Rep,Split,Dem,Dem,Rep,Rep,Rep,Rep,Split,Split
Wyoming,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep